Country,Country code,year,category,category2,revenue
모든 국가,All countries,2020,음식 및 음료,비게임,87777980.89
모든 국가,All countries,2017,참고,비게임,84981865.99
모든 국가,All countries,2017,금융,비게임,84621079.43
모든 국가,All countries,2019,그래픽 및 디자인,비게임,83196456.81
모든 국가,All countries,2017,도구,비게임,83167459.89
모든 국가,All countries,2014,소셜,비게임,80283185.78
모든 국가,All countries,2018,날씨,비게임,78100002.4
모든 국가,All countries,2014,유틸리티,비게임,77885826.35
모든 국가,All countries,2015,참고,비게임,76776202.63
모든 국가,All countries,2021,여행,비게임,74848296.4
모든 국가,All countries,2020,지도 및 내비게이션,비게임,74515544.28
모든 국가,All countries,2020,뉴스 및 잡지,비게임,73129608.5
모든 국가,All countries,2017,만화,비게임,71514410.8
모든 국가,All countries,2019,의료,비게임,71228675.94
모든 국가,All countries,2019,도서 및 참고자료,비게임,71146272.22
모든 국가,All countries,2016,도구,비게임,70521903.5
모든 국가,All countries,2019,쇼핑,비게임,70077872.45
모든 국가,All countries,2019,지도 및 내비게이션,비게임,67889184.15
모든 국가,All countries,2016,참고,비게임,66126045.16
모든 국가,All countries,2015,음악 및 오디오,비게임,64219245.42
모든 국가,All countries,2024,육아,비게임,63865484.66
모든 국가,All countries,2016,금융,비게임,63287936.58
모든 국가,All countries,2022,예술 및 디자인,비게임,63178245.08
모든 국가,All countries,2018,의료,비게임,62156377.99
모든 국가,All countries,2014,참고,비게임,61537986.15
모든 국가,All countries,2019,동영상 플레이어 및 편집,비게임,61417029.57
모든 국가,All countries,2019,음식 및 음료,비게임,60254390.37
모든 국가,All countries,2019,여행,비게임,59167418.36
모든 국가,All countries,2015,도구,비게임,59006717.96
모든 국가,All countries,2014,도구,비게임,58378228.64
모든 국가,All countries,2014,음악 및 오디오,비게임,54511248.02
모든 국가,All countries,2016,만화,비게임,54249406.89
모든 국가,All countries,2020,여행,비게임,51158869.15
모든 국가,All countries,2017,의료,비게임,50579848.34
모든 국가,All countries,2018,쇼핑,비게임,50152985.81
모든 국가,All countries,2018,그래픽 및 디자인,비게임,48270502.18
모든 국가,All countries,2018,여행,비게임,48031136.28
모든 국가,All countries,2018,지도 및 내비게이션,비게임,47275832.8
모든 국가,All countries,2015,데이트,비게임,46874135.73
모든 국가,All countries,2014,의료,비게임,46153242.28
모든 국가,All countries,2024,여행 및 지역,비게임,45422931.73
모든 국가,All countries,2023,육아,비게임,45110112.11
모든 국가,All countries,2019,뉴스 및 잡지,비게임,44986162.75
모든 국가,All countries,2015,의료,비게임,44568121.92
모든 국가,All countries,2015,금융,비게임,44510853.72
모든 국가,All countries,2016,의료,비게임,44071522.54
모든 국가,All countries,2018,음식 및 음료,비게임,43414817.93
모든 국가,All countries,2017,날씨,비게임,42007471.41
모든 국가,All countries,2018,사진,비게임,41929583.79
모든 국가,All countries,2021,예술 및 디자인,비게임,40474819.73
모든 국가,All countries,2014,날씨,비게임,39837560.06
모든 국가,All countries,2015,날씨,비게임,39689826.02
모든 국가,All countries,2014,여행,비게임,39455583.06
모든 국가,All countries,2015,여행,비게임,37837305.89
모든 국가,All countries,2017,지도 및 내비게이션,비게임,37138377.38
모든 국가,All countries,2021,개인화,비게임,36991535.11
모든 국가,All countries,2014,금융,비게임,36796749.31
모든 국가,All countries,2023,여행 및 지역,비게임,36625734.25
모든 국가,All countries,2024,개인화,비게임,36301995.35
모든 국가,All countries,2016,날씨,비게임,36125468.13
모든 국가,All countries,2017,여행,비게임,35999865.2
모든 국가,All countries,2018,도서 및 참고자료,비게임,35030474.3
모든 국가,All countries,2022,개발자 도구,비게임,34964363.17
모든 국가,All countries,2015,만화,비게임,34904909.95
모든 국가,All countries,2018,동영상 플레이어 및 편집,비게임,34458457.96
모든 국가,All countries,2017,쇼핑,비게임,34355244.56
모든 국가,All countries,2022,육아,비게임,33630965.69
모든 국가,All countries,2014,음식 및 음료,비게임,33482608.13
모든 국가,All countries,2016,여행,비게임,33378154.74
모든 국가,All countries,2018,뉴스 및 잡지,비게임,32367495.5
모든 국가,All countries,2017,음식 및 음료,비게임,31778639.61
모든 국가,All countries,2020,개발자 도구,비게임,31343153.29
모든 국가,All countries,2021,육아,비게임,31232162.64
모든 국가,All countries,2022,여행 및 지역,비게임,30767485.26
모든 국가,All countries,2015,음식 및 음료,비게임,30070023.69
모든 국가,All countries,2023,개인화,비게임,29779442.14
모든 국가,All countries,2021,여행 및 지역,비게임,29732105.45
모든 국가,All countries,2022,개인화,비게임,29609636.04
모든 국가,All countries,2016,지도 및 내비게이션,비게임,29242585.64
모든 국가,All countries,2014,잡지 및 신문,비게임,28392431.96
모든 국가,All countries,2016,음식 및 음료,비게임,27600375.06
모든 국가,All countries,2024,개발자 도구,비게임,27547970.67
모든 국가,All countries,2014,만화,비게임,26377851.58
모든 국가,All countries,2024,자동차 및 차량,비게임,26351792.37
모든 국가,All countries,2023,개발자 도구,비게임,25976753.47
모든 국가,All countries,2021,개발자 도구,비게임,25816278.07
모든 국가,All countries,2015,지도 및 내비게이션,비게임,24854974.27
모든 국가,All countries,2014,지도 및 내비게이션,비게임,24580190.86
모든 국가,All countries,2020,육아,비게임,24418587.75
모든 국가,All countries,2017,도서 및 참고자료,비게임,24163584.49
모든 국가,All countries,2020,여행 및 지역,비게임,23985249.64
모든 국가,All countries,2017,사진,비게임,23705414.66
모든 국가,All countries,2014,개인화,비게임,23202115.94
모든 국가,All countries,2024,주택 및 생활,비게임,22974336.18
모든 국가,All countries,2015,잡지 및 신문,비게임,22879600.62
모든 국가,All countries,2017,그래픽 및 디자인,비게임,22694232.63
모든 국가,All countries,2017,뉴스 및 잡지,비게임,22453863.43
모든 국가,All countries,2024,잡지 및 신문,비게임,22278006.76
모든 국가,All countries,2023,자동차 및 차량,비게임,22218618.81
모든 국가,All countries,2014,사진,비게임,22062484.13
모든 국가,All countries,2020,예술 및 디자인,비게임,22035972.49
모든 국가,All countries,2016,잡지 및 신문,비게임,21728247.15
모든 국가,All countries,2021,자동차 및 차량,비게임,20774935.03
모든 국가,All countries,2019,여행 및 지역,비게임,20264666.99
모든 국가,All countries,2023,잡지 및 신문,비게임,20204052.98
모든 국가,All countries,2017,잡지 및 신문,비게임,20091091.27
모든 국가,All countries,2020,개인화,비게임,19770467.7
모든 국가,All countries,2014,데이트,비게임,19359870.02
모든 국가,All countries,2022,자동차 및 차량,비게임,19183627.72
모든 국가,All countries,2014,여행 및 지역,비게임,19009083.77
모든 국가,All countries,2022,잡지 및 신문,비게임,18798117.78
모든 국가,All countries,2017,동영상 플레이어 및 편집,비게임,18728796.69
모든 국가,All countries,2021,잡지 및 신문,비게임,18315840.44
모든 국가,All countries,2016,도서 및 참고자료,비게임,17925386.87
모든 국가,All countries,2014,도서 및 참고자료,비게임,17853663.03
모든 국가,All countries,2016,사진,비게임,17707505.98
모든 국가,All countries,2015,사진,비게임,17688223.6
모든 국가,All countries,2016,쇼핑,비게임,17314955.96
모든 국가,All countries,2020,자동차 및 차량,비게임,17202743.64
모든 국가,All countries,2023,주택 및 생활,비게임,17020732.21
모든 국가,All countries,2020,잡지 및 신문,비게임,16476157.37
모든 국가,All countries,2018,잡지 및 신문,비게임,16014580.58
모든 국가,All countries,2018,여행 및 지역,비게임,15978867.44
모든 국가,All countries,2016,뉴스 및 잡지,비게임,15404150.55
모든 국가,All countries,2015,개인화,비게임,15162456.81
모든 국가,All countries,2019,개인화,비게임,14761672.49
모든 국가,All countries,2019,자동차 및 차량,비게임,14598688.15
모든 국가,All countries,2019,잡지 및 신문,비게임,14393716.4
모든 국가,All countries,2015,도서 및 참고자료,비게임,14135176.49
모든 국가,All countries,2019,육아,비게임,13572119.86
모든 국가,All countries,2024,뷰티,비게임,13501569.67
모든 국가,All countries,2022,주택 및 생활,비게임,13301497.45
모든 국가,All countries,2016,여행 및 지역,비게임,13208560.48
모든 국가,All countries,2017,여행 및 지역,비게임,13095646.37
모든 국가,All countries,2015,여행 및 지역,비게임,12883322.08
모든 국가,All countries,2016,동영상 플레이어 및 편집,비게임,12849706.71
모든 국가,All countries,2018,개인화,비게임,12286667.43
모든 국가,All countries,2021,주택 및 생활,비게임,12240213.16
모든 국가,All countries,2016,개인화,비게임,12030659.06
모든 국가,All countries,2016,그래픽 및 디자인,비게임,10864080.79
모든 국가,All countries,2015,뉴스 및 잡지,비게임,10653550.72
모든 국가,All countries,2015,쇼핑,비게임,10254680.22
모든 국가,All countries,2014,동영상 플레이어 및 편집,비게임,9962870.78
모든 국가,All countries,2018,자동차 및 차량,비게임,9629501.08
모든 국가,All countries,2019,예술 및 디자인,비게임,9529189.92
모든 국가,All countries,2023,뷰티,비게임,9526789.7
모든 국가,All countries,2015,동영상 플레이어 및 편집,비게임,9521022.54
모든 국가,All countries,2014,뉴스 및 잡지,비게임,9253093.72
모든 국가,All countries,2017,개인화,비게임,8951352.94
모든 국가,All countries,2024,이벤트,비게임,8767665.67
모든 국가,All countries,2024,라이브러리 및 데모,비게임,7745193.7
모든 국가,All countries,2020,주택 및 생활,비게임,7501975.63
모든 국가,All countries,2014,쇼핑,비게임,7388410.34
모든 국가,All countries,2022,뷰티,비게임,7061776.26
모든 국가,All countries,2021,뷰티,비게임,6929357.2
모든 국가,All countries,2018,육아,비게임,6919252.02
모든 국가,All countries,2022,라이브러리 및 데모,비게임,6864649.39
모든 국가,All countries,2023,라이브러리 및 데모,비게임,6819723.67
모든 국가,All countries,2021,라이브러리 및 데모,비게임,6545840.34
모든 국가,All countries,2017,자동차 및 차량,비게임,6444843.23
모든 국가,All countries,2023,이벤트,비게임,6182584.28
모든 국가,All countries,2018,예술 및 디자인,비게임,5495935.12
모든 국가,All countries,2015,그래픽 및 디자인,비게임,5430418.17
모든 국가,All countries,2022,이벤트,비게임,5252826.72
모든 국가,All countries,2020,라이브러리 및 데모,비게임,4998394.86
모든 국가,All countries,2019,주택 및 생활,비게임,4608305.72
모든 국가,All countries,2016,자동차 및 차량,비게임,4580537.09
모든 국가,All countries,2017,육아,비게임,4409797.66
모든 국가,All countries,2014,미디어 및 비디오,비게임,4140247.31
모든 국가,All countries,2020,뷰티,비게임,4046991.81
모든 국가,All countries,2021,이벤트,비게임,3748606.3
모든 국가,All countries,2014,그래픽 및 디자인,비게임,3740513.19
모든 국가,All countries,2021,스티커,비게임,3576602.53
모든 국가,All countries,2014,교통,비게임,3354193.81
모든 국가,All countries,2017,예술 및 디자인,비게임,3348701.1
모든 국가,All countries,2018,주택 및 생활,비게임,3215306.49
모든 국가,All countries,2019,라이브러리 및 데모,비게임,3117794.28
모든 국가,All countries,2015,자동차 및 차량,비게임,2964456.65
모든 국가,All countries,2016,육아,비게임,2577511.9
모든 국가,All countries,2019,뷰티,비게임,2566583.51
모든 국가,All countries,2017,카탈로그,비게임,2354833.9
모든 국가,All countries,2020,이벤트,비게임,2352613.47
모든 국가,All countries,2016,카탈로그,비게임,2314623.35
모든 국가,All countries,2014,자동차 및 차량,비게임,2185491.24
모든 국가,All countries,2018,라이브러리 및 데모,비게임,2104346.92
모든 국가,All countries,2019,개발자 도구,비게임,2091219.26
모든 국가,All countries,2014,카탈로그,비게임,2052171.09
모든 국가,All countries,2015,미디어 및 비디오,비게임,2044841.93
모든 국가,All countries,2015,카탈로그,비게임,1956451.65
모든 국가,All countries,2017,주택 및 생활,비게임,1746696.85
모든 국가,All countries,2019,이벤트,비게임,1606657.65
모든 국가,All countries,2018,뷰티,비게임,1596678.12
모든 국가,All countries,2015,교통,비게임,1558078.78
모든 국가,All countries,2017,라이브러리 및 데모,비게임,1471724.31
모든 국가,All countries,2015,육아,비게임,1436150.7
모든 국가,All countries,2016,예술 및 디자인,비게임,1291495.87
모든 국가,All countries,2016,라이브러리 및 데모,비게임,1209335.29
모든 국가,All countries,2014,라이브러리 및 데모,비게임,1148665.35
모든 국가,All countries,2017,뷰티,비게임,1122956.89
모든 국가,All countries,2014,육아,비게임,1055825.35
모든 국가,All countries,2018,이벤트,비게임,1013073.02
모든 국가,All countries,2016,교통,비게임,1002187.76
모든 국가,All countries,2015,라이브러리 및 데모,비게임,964696.56
모든 국가,All countries,2015,예술 및 디자인,비게임,945289.51
모든 국가,All countries,2017,이벤트,비게임,906146.51
모든 국가,All countries,2018,개발자 도구,비게임,892362.16
모든 국가,All countries,2016,주택 및 생활,비게임,851717.63
모든 국가,All countries,2016,미디어 및 비디오,비게임,641172.34
모든 국가,All countries,2014,예술 및 디자인,비게임,624411.18
모든 국가,All countries,2017,개발자 도구,비게임,538338.9
