Country,Country code,Genre,Top subcat for time spent,%
South Korea,KOR,RMG,Finance,212
South Korea,KOR,E-Commerce,Weather,615
South Korea,KOR,On Demand,Travel,191
South Korea,KOR,Travel,Finance,227
South Korea,KOR,Finance,Casual Games,341
South Korea,KOR,Entertainment,Weather,130
South Korea,KOR,Social,Social Media,175
Mexico,MEX,RMG,Travel,222
Mexico,MEX,E-Commerce,Food & Drink,338
Mexico,MEX,On Demand,Finance,196
Mexico,MEX,Travel,Food & Drink,140
Mexico,MEX,Finance,Medical,536
Mexico,MEX,Entertainment,Books,117
Mexico,MEX,Social,Sports,179
U.S.,USA,RMG,News,236
U.S.,USA,E-Commerce,News,236
U.S.,USA,On Demand,Shopping,216
U.S.,USA,Travel,Sports,183
U.S.,USA,Finance,Shopping,163
U.S.,USA,Entertainment,Lifestyle,99
U.S.,USA,Social,Utilities,272
Vietnam,VNM,RMG,Weather,404
Vietnam,VNM,E-Commerce,Medical,122
Vietnam,VNM,On Demand,Health & Fitness,407
Vietnam,VNM,Travel,Food & Drink,318
Vietnam,VNM,Finance,Casual Games,230
Vietnam,VNM,Entertainment,Travel,115
Vietnam,VNM,Social,Food & Drink,160
