Country,Country code,Quarter,Year,Category,Revenue
Japan,JPN,2020-Q4,2020,Non-Gaming,"1,083,941,506.90"
South Korea,KOR,2020-Q4,2020,Non-Gaming,"190,358,251.19"
Mexico,MEX,2020-Q4,2020,Non-Gaming,"52,215,868.36"
U.S.,USA,2020-Q4,2020,Non-Gaming,"2,970,671,155.69"
Vietnam,VNM,2020-Q4,2020,Non-Gaming,"17,009,769.15"
Australia,AUS,2021-Q1,2021,Non-Gaming,"226,165,051.53"
Brazil,BRA,2021-Q1,2021,Non-Gaming,"101,810,027.34"
Canada,CAN,2021-Q1,2021,Non-Gaming,"237,964,540.55"
Germany,DEU,2021-Q1,2021,Non-Gaming,"247,371,578.08"
France,FRA,2021-Q1,2021,Non-Gaming,"181,041,969.79"
U.K.,GBR,2021-Q1,2021,Non-Gaming,"385,399,717.40"
Indonesia,IDN,2021-Q1,2021,Non-Gaming,"40,690,824.87"
India,IND,2021-Q1,2021,Non-Gaming,"67,136,141.46"
Japan,JPN,2021-Q1,2021,Non-Gaming,"1,169,752,331.77"
South Korea,KOR,2021-Q1,2021,Non-Gaming,"196,443,168.55"
Mexico,MEX,2021-Q1,2021,Non-Gaming,"64,504,015.80"
U.S.,USA,2021-Q1,2021,Non-Gaming,"3,317,694,745.39"
Vietnam,VNM,2021-Q1,2021,Non-Gaming,"21,086,295.03"
Australia,AUS,2021-Q2,2021,Non-Gaming,"231,255,559.38"
Brazil,BRA,2021-Q2,2021,Non-Gaming,"107,963,667.80"
Canada,CAN,2021-Q2,2021,Non-Gaming,"262,156,913.58"
Germany,DEU,2021-Q2,2021,Non-Gaming,"251,467,664.29"
France,FRA,2021-Q2,2021,Non-Gaming,"200,807,543.45"
