Country,Country code,Category,hour_of_day,value
澳大利亚,AUS,购物,22,0.4312
澳大利亚,AUS,社交,22,
澳大利亚,AUS,社交媒体,22,1.2656
澳大利亚,AUS,体育,22,0.1226
澳大利亚,AUS,工具,22,
澳大利亚,AUS,旅游,22,-0.303
澳大利亚,AUS,旅行与导航,22,
澳大利亚,AUS,实用与效率,22,-0.1037
澳大利亚,AUS,天气,22,
澳大利亚,AUS,艺术与设计,23,
澳大利亚,AUS,汽车,23,
澳大利亚,AUS,图书与工具书,23,1.0425
澳大利亚,AUS,商业,23,
澳大利亚,AUS,教育,23,1.3868
