Country,Country code,Category,hour_of_day,value
Australia,AUS,Productivity,21,
Australia,AUS,Real Estate,21,
Australia,AUS,RMG,21,
Australia,AUS,Shopping,21,1.2629
Australia,AUS,Social,21,
Australia,AUS,Social Media,21,1.4367
Australia,AUS,Sports,21,1.3545
Australia,AUS,Tools,21,
Australia,AUS,Travel,21,0.2976
Australia,AUS,Travel & Navigation,21,
Australia,AUS,Utility & Productivity,21,0.4115
Australia,AUS,Weather,21,
Australia,AUS,Art & Design,22,
Australia,AUS,Automotive,22,
Australia,AUS,Books & Reference,22,1.7162
Australia,AUS,Business,22,
Australia,AUS,Education,22,2.5492
Australia,AUS,Entertainment,22,0.5697
Australia,AUS,Family & Relationships,22,
Australia,AUS,Finance,22,
Australia,AUS,Food & Drink,22,
Australia,AUS,Generative AI,22,1.4874
Australia,AUS,Graphic & Design,22,
Australia,AUS,Health & Fitness,22,0.118
Australia,AUS,Lifestyle,22,
Australia,AUS,Medical,22,
Australia,AUS,Music,22,
Australia,AUS,News & Magazines,22,
Australia,AUS,Photo & Video,22,1.005
Australia,AUS,Productivity,22,
Australia,AUS,Real Estate,22,
Australia,AUS,RMG,22,
Australia,AUS,Shopping,22,0.4312
Australia,AUS,Social,22,
Australia,AUS,Social Media,22,1.2656
Australia,AUS,Sports,22,0.1226
Australia,AUS,Tools,22,
Australia,AUS,Travel,22,-0.303
Australia,AUS,Travel & Navigation,22,
Australia,AUS,Utility & Productivity,22,-0.1037
Australia,AUS,Weather,22,
Australia,AUS,Art & Design,23,
Australia,AUS,Automotive,23,
Australia,AUS,Books & Reference,23,1.0425
Australia,AUS,Business,23,
Australia,AUS,Education,23,1.3868
Australia,AUS,Entertainment,23,-0.1638
Australia,AUS,Family & Relationships,23,
Australia,AUS,Finance,23,
Australia,AUS,Food & Drink,23,
Australia,AUS,Generative AI,23,0.8328
Australia,AUS,Graphic & Design,23,
Australia,AUS,Health & Fitness,23,-0.5442
Australia,AUS,Lifestyle,23,
Australia,AUS,Medical,23,
Australia,AUS,Music,23,
Australia,AUS,News & Magazines,23,
Australia,AUS,Photo & Video,23,0.361
Australia,AUS,Productivity,23,
Australia,AUS,Real Estate,23,
Australia,AUS,RMG,23,
Australia,AUS,Shopping,23,-0.356
Australia,AUS,Social,23,
Australia,AUS,Social Media,23,0.551
Australia,AUS,Sports,23,-0.4844
Australia,AUS,Tools,23,
Australia,AUS,Travel,23,-0.9867
Australia,AUS,Travel & Navigation,23,
Australia,AUS,Utility & Productivity,23,-0.7678
Australia,AUS,Weather,23,
Brazil,BRA,Art & Design,0,
Brazil,BRA,Automotive,0,
Brazil,BRA,Books & Reference,0,-0.6535
Brazil,BRA,Business,0,-1.1901
Brazil,BRA,Education,0,-0.8832
Brazil,BRA,Entertainment,0,-0.9986
Brazil,BRA,Family & Relationships,0,
Brazil,BRA,Finance,0,-0.7818
Brazil,BRA,Food & Drink,0,
Brazil,BRA,Generative AI,0,0.0077
Brazil,BRA,Graphic & Design,0,-1.2128
Brazil,BRA,Health & Fitness,0,-1.4794
Brazil,BRA,Lifestyle,0,-1.0503
Brazil,BRA,Medical,0,
Brazil,BRA,Music,0,
Brazil,BRA,News & Magazines,0,-1.2129
Brazil,BRA,Photo & Video,0,-0.6752
Brazil,BRA,Productivity,0,
Brazil,BRA,Real Estate,0,
Brazil,BRA,RMG,0,
Brazil,BRA,Shopping,0,0.2749
Brazil,BRA,Social,0,
Brazil,BRA,Social Media,0,0.2298
Brazil,BRA,Sports,0,-0.736
Brazil,BRA,Tools,0,-1.2039
Brazil,BRA,Travel,0,-1.4416
Brazil,BRA,Travel & Navigation,0,
Brazil,BRA,Utility & Productivity,0,-1.261
Brazil,BRA,Weather,0,
Brazil,BRA,Art & Design,1,
Brazil,BRA,Automotive,1,
Brazil,BRA,Books & Reference,1,-1.2917
Brazil,BRA,Business,1,-1.3393
Brazil,BRA,Education,1,-1.3
Brazil,BRA,Entertainment,1,-1.4169
Brazil,BRA,Family & Relationships,1,
Brazil,BRA,Finance,1,-1.1976
Brazil,BRA,Food & Drink,1,
Brazil,BRA,Generative AI,1,-0.7176
Brazil,BRA,Graphic & Design,1,-1.4663
Brazil,BRA,Health & Fitness,1,-1.7246
Brazil,BRA,Lifestyle,1,-1.5044
Brazil,BRA,Medical,1,
Brazil,BRA,Music,1,
Brazil,BRA,News & Magazines,1,-1.3471
Brazil,BRA,Photo & Video,1,-1.2197
Brazil,BRA,Productivity,1,
Brazil,BRA,Real Estate,1,
Brazil,BRA,RMG,1,
Brazil,BRA,Shopping,1,-0.494
Brazil,BRA,Social,1,
Brazil,BRA,Social Media,1,-0.708
Brazil,BRA,Sports,1,-1.0172
Brazil,BRA,Tools,1,-1.5679
Brazil,BRA,Travel,1,-1.5833
Brazil,BRA,Travel & Navigation,1,
Brazil,BRA,Utility & Productivity,1,-1.6039
Brazil,BRA,Weather,1,
Brazil,BRA,Art & Design,2,
Brazil,BRA,Automotive,2,
Brazil,BRA,Books & Reference,2,-1.7044
